W,p,caught
1,0.01,false
1,0.02,false
1,0.03,false
1,0.04,false
1,0.05,false
1,0.060000000000000005,false
1,0.07,false
1,0.08,false
1,0.09,true
1,0.09999999999999999,false
1,0.10999999999999999,true
1,0.11999999999999998,true
1,0.12999999999999998,false
1,0.13999999999999999,true
1,0.15,false
1,0.16,false
1,0.17,true
1,0.18000000000000002,false
1,0.19000000000000003,true
2,0.01,false
2,0.02,false
2,0.03,true
2,0.04,true
2,0.05,false
2,0.060000000000000005,false
2,0.07,true
2,0.08,true
2,0.09,true
2,0.09999999999999999,true
2,0.10999999999999999,true
2,0.11999999999999998,true
2,0.12999999999999998,true
2,0.13999999999999999,false
2,0.15,false
2,0.16,true
2,0.17,false
2,0.18000000000000002,true
2,0.19000000000000003,true
3,0.01,false
3,0.02,false
3,0.03,false
3,0.04,false
3,0.05,false
3,0.060000000000000005,true
3,0.07,true
3,0.08,false
3,0.09,false
3,0.09999999999999999,true
3,0.10999999999999999,true
3,0.11999999999999998,true
3,0.12999999999999998,false
3,0.13999999999999999,true
3,0.15,true
3,0.16,true
3,0.17,true
3,0.18000000000000002,true
3,0.19000000000000003,true
4,0.01,true
4,0.02,true
4,0.03,true
4,0.04,true
4,0.05,false
4,0.060000000000000005,true
4,0.07,true
4,0.08,true
4,0.09,true
4,0.09999999999999999,false
4,0.10999999999999999,true
4,0.11999999999999998,true
4,0.12999999999999998,true
4,0.13999999999999999,true
4,0.15,true
4,0.16,true
4,0.17,true
4,0.18000000000000002,true
4,0.19000000000000003,true
5,0.01,true
5,0.02,false
5,0.03,true
5,0.04,true
5,0.05,false
5,0.060000000000000005,true
5,0.07,false
5,0.08,true
5,0.09,true
5,0.09999999999999999,true
5,0.10999999999999999,true
5,0.11999999999999998,true
5,0.12999999999999998,true
5,0.13999999999999999,true
5,0.15,true
5,0.16,true
5,0.17,true
5,0.18000000000000002,true
5,0.19000000000000003,true
6,0.01,true
6,0.02,false
6,0.03,true
6,0.04,true
6,0.05,true
6,0.060000000000000005,true
6,0.07,true
6,0.08,true
6,0.09,true
6,0.09999999999999999,true
6,0.10999999999999999,true
6,0.11999999999999998,true
6,0.12999999999999998,true
6,0.13999999999999999,true
6,0.15,true
6,0.16,true
6,0.17,true
6,0.18000000000000002,true
6,0.19000000000000003,true
7,0.01,true
7,0.02,true
7,0.03,true
7,0.04,true
7,0.05,true
7,0.060000000000000005,true
7,0.07,true
7,0.08,true
7,0.09,true
7,0.09999999999999999,true
7,0.10999999999999999,true
7,0.11999999999999998,true
7,0.12999999999999998,true
7,0.13999999999999999,true
7,0.15,true
7,0.16,true
7,0.17,true
7,0.18000000000000002,true
7,0.19000000000000003,true
8,0.01,true
8,0.02,true
8,0.03,true
8,0.04,true
8,0.05,true
8,0.060000000000000005,true
8,0.07,true
8,0.08,true
8,0.09,true
8,0.09999999999999999,true
8,0.10999999999999999,true
8,0.11999999999999998,true
8,0.12999999999999998,true
8,0.13999999999999999,true
8,0.15,true
8,0.16,true
8,0.17,true
8,0.18000000000000002,true
8,0.19000000000000003,true
9,0.01,false
9,0.02,false
9,0.03,true
9,0.04,true
9,0.05,true
9,0.060000000000000005,true
9,0.07,true
9,0.08,true
9,0.09,true
9,0.09999999999999999,true
9,0.10999999999999999,true
9,0.11999999999999998,true
9,0.12999999999999998,true
9,0.13999999999999999,true
9,0.15,true
9,0.16,true
9,0.17,true
9,0.18000000000000002,true
9,0.19000000000000003,true
